TIME,RPM,AMPS AVG,MOTOR VOLTS
2.1333333333333306,2062.46,0.02,1.01
2.1499999999999972,2054.25,0.03,1.16
2.166666666666664,2049.5,0.03,1.3
2.1833333333333305,2042.46,0.03,1.35
2.199999999999997,2040.93,0.03,1.49
2.2166666666666637,2038.41,0.03,1.54
2.2333333333333303,2037.74,0.03,1.54
2.249999999999997,2035.02,0.03,1.54
2.2666666666666635,2033.98,0.03,1.69
2.28333333333333,2032.23,0.03,1.64
2.2999999999999967,2031.89,0.03,1.69
2.3166666666666633,2034.35,0.03,1.69
2.33333333333333,2034.85,0.03,1.73
2.3499999999999965,2033.61,0.03,1.69
2.366666666666663,2034.68,0.03,1.69
2.3833333333333298,2035.46,0.03,1.64
2.3999999999999964,2032.75,0.03,1.69
2.416666666666663,2034.05,0.03,1.73
2.4333333333333296,2034.84,0.03,1.73
2.449999999999996,2033.08,0.03,1.73
2.466666666666663,2034.36,0.03,1.69
2.4833333333333294,2036.65,0.03,1.64
2.499999999999996,2036.0,0.03,1.73
2.5166666666666626,2036.71,0.03,1.73
2.533333333333329,2035.51,0.03,1.68
2.549999999999996,2038.68,0.03,1.73
2.5666666666666624,2037.72,0.03,1.73
2.583333333333329,2035.87,0.03,1.73
2.5999999999999956,2037.99,0.03,1.69
2.6166666666666623,2038.91,0.03,1.69
2.633333333333329,2039.77,0.03,1.69
2.6499999999999955,2038.93,0.03,1.69
2.666666666666662,2038.21,0.03,1.69
2.6833333333333287,2039.63,0.03,1.73
2.6999999999999953,2037.95,0.03,1.69
2.716666666666662,2037.69,0.03,1.73
2.7333333333333285,2040.96,0.03,1.73
2.749999999999995,2042.79,0.03,1.73
2.7666666666666617,2041.78,0.03,1.69
2.7833333333333283,2039.66,0.03,1.69
2.799999999999995,2042.5,0.03,1.69
2.8166666666666615,2042.18,0.03,1.73
2.833333333333328,2041.06,0.03,1.73
2.8499999999999948,2041.6,0.03,1.73
2.8666666666666614,2043.26,0.03,1.73
2.883333333333328,2044.02,0.03,1.73
2.8999999999999946,2041.81,0.03,1.69
2.916666666666661,2043.93,0.03,1.69
2.933333333333328,2044.69,0.03,1.73
2.9499999999999944,2044.84,0.03,1.69
2.966666666666661,2042.88,0.03,1.68
2.9833333333333276,2043.98,0.03,1.69
2.9999999999999942,2046.42,0.03,1.73
3.016666666666661,2047.15,0.03,1.69
3.0333333333333274,2044.94,0.03,1.69
3.049999999999994,2047.89,0.03,1.69
3.0666666666666607,2048.15,0.03,1.69
3.0833333333333273,2046.16,0.03,1.73
3.099999999999994,2045.42,0.03,1.69
3.1166666666666605,2045.28,0.03,1.68
3.133333333333327,2048.55,0.03,1.73
3.1499999999999937,2049.71,0.03,1.73
3.1666666666666603,2046.86,0.03,1.69
3.183333333333327,2047.41,0.03,1.69
3.1999999999999935,2049.11,0.03,1.69
3.21666666666666,2049.44,0.03,1.73
3.2333333333333267,2047.14,0.03,1.73
3.2499999999999933,2047.57,0.03,1.73
3.26666666666666,2049.53,0.03,1.73
3.2833333333333266,2052.12,0.03,1.73
3.299999999999993,2052.37,0.03,1.69
3.3166666666666598,2051.01,0.03,1.69
3.3333333333333264,2052.73,0.03,1.69
3.349999999999993,2052.47,0.03,1.69
3.3666666666666596,2050.66,0.03,1.73
3.383333333333326,2050.21,0.03,1.73
3.399999999999993,2053.03,0.03,1.78
3.4166666666666594,2052.26,0.03,1.73
3.433333333333326,2053.97,0.03,1.73
3.4499999999999926,2053.12,0.03,1.69
3.4666666666666592,2053.72,0.03,1.69
